name	type	supertype	subtype	race	class	talent	faction	keywords	allowedtalent	allowedclass	cost	strikecost	rules	flavor	atk	atktype	health	def	number	rarity	artistname	artisturl	setname
High Guard Braxx	Ally			Goblin	Warrior		Horde				5		"<b>Protector </b><i>(This ally may exhaust to become the defender when an opposing hero or ally attacks.)</i><br>When this ally enters play, he may deal 2 melee damage to target damaged hero or ally."		2	Melee	5		142	C			ToD
Jaga'zul the Wild's Fury	Ally			Troll	Druid		Horde				4		"When this ally is destroyed, you may put him from the graveyard into his owner's resource row face down and exhausted."		5	Nature	1		143	R			ToD
Kraxos Chizzlecoin	Ally			Goblin	Death Knight		Horde				5		"<b>Assault 3 </b><i>(This ally has +3 ATK on your turn.)</i><br><b>Stash </b><i>(As this enters your resource row, you may have it enter face up. Immediately turn it face down.)</i> Add an heirloom counter to target equipment you control."		3	Melee	5		144	U			ToD
Kyroth Steelspite	Ally			Blood Elf	Warrior		Horde				3		<b>Protector </b><i>(This ally may exhaust to become the defender when an opposing hero or ally attacks.)</i><br>Opponents can't strike with weapons.		3	Melee	3		145	C			ToD
Rakala Deathsmash	Ally			Orc	Death Knight		Horde				3		"When this ally is destroyed, target opposing ally has -3 ATK this turn."		4	Melee	2		146	C			ToD
Sahama Brighthorn	Ally			Tauren	Priest		Horde				4		"When this ally is destroyed, your hero may heal 4 damage from target hero or ally."		4	Holy	3		147	C			ToD
Shade Emissary Vaxxod	Ally			Goblin	Priest		Horde				7		<b>Time is Money</b><br>[Exhaust] -> This ally deals 2 shadow damage to target ally and 2 shadow damage to itself.		5	Shadow	7		148	U			ToD
Warchief Garrosh Hellscream	Ally			Orc	Warrior		Horde	Garrosh (1)			4		"When another [Horde] ally enters play under your control, it has <b>Assault 2</b>, <b>Ferocity</b>, and ""At the end of your turn, destroy this ally"" this turn."		6	Melee	3		149	E			ToD
Wildweaver Masa'zun	Ally			Troll	Druid		Horde				6		"When this ally enters play, she heals 3 damage from each hero and ally you control."		4	Nature	6		150	C			ToD
Yazli Earthspark	Ally			Goblin	Shaman		Horde				2		"When this ally attacks, she may deal 2 nature damage to target hero."		2	Nature	2		151	C			ToD
Zor'dul Deathbinder	Ally			Orc	Mage		Horde				1		"<b>Assault 1 </b><i>(This ally has +1 ATK on your turn.)</i><br>When this ally is destroyed, you may draw a card."		0	Arcane	1		152	C			ToD
Nefarian	Ally			Black Dragonkin			Neutral	Nefarian (1)			8		"When this ally enters play, put an 8 [Fire] / 8 [Health] Black Dragonkin ally token named Onyxia into play with Onyxia (1)."		8	Shadow	8		153	R			ToD
Obsidia	Ally			Black Dragonkin			Neutral	Obsidia (1)			4		This ally has +1 / +1 for each other Black and Twilight Dragonkin you control.		5	Fire	4		154	R			ToD
Obsidian Drakonid	Ally			Black Dragonkin			Neutral				4		"When this or another Black or Twilight Dragonkin ally you control is destroyed, you may destroy target ability."		4	Fire	3		155	C			ToD
Obsidian Drudge	Ally			Black Dragonkin			Neutral				3		"When this or another Black or Twilight Dragonkin ally you control is destroyed, you may destroy target equipment."		3	Fire	2		156	C			ToD
Obsidian Enforcer	Ally			Black Dragonkin			Neutral				5		"When this or another Black or Twilight Dragonkin ally you control is destroyed, you may destroy target [Horde] or [Alliance] ally."		4	Fire	4		157	C			ToD
Obsidian Pyrewing	Ally			Black Dragonkin			Neutral				6		"When this or another Black or Twilight Dragonkin ally you control is destroyed, you may destroy target face-up resource."		6	Fire	4		158	C			ToD
Obsidian Skyterror	Ally			Black Dragonkin			Neutral				5		"When this or another Black or Twilight Dragonkin ally you control is destroyed, you may destroy target Dragonkin ally."		5	Fire	3		159	C			ToD
Sinestra	Ally			Black Dragonkin	Consort		Neutral	Sinestra (1)			6		"<b>Ferocity</b><br>On your turn: Destroy another non-token ability, ally or equipment you control -> Put two 1 [Shadow] / 1 [Health] Twilight Dragonkin ally tokens into play with <b>Ferocity</b>."		4	Fire	3		160	R			ToD
Twilight Corruptor	Ally			Twilight Dragonkin			Neutral				5		"When this ally enters play, if an ability, ally, or equipment was destroyed this turn, this ally may deal 2 shadow damage to each opposing hero and ally."		2	Shadow	1		161	U			ToD
Twilight Drake	Ally			Twilight Dragonkin			Neutral				4		"When this ally enters play, if an ability, ally, or equipment was destroyed this turn, target player discards a card."		3	Melee	5		162	U			ToD
Twilight Emissary	Ally			Twilight Dragonkin			Neutral				4		"When this ally enters play, if an ability, ally, or equipment was destroyed this turn, you may put target Death Knight or Shaman ally from your graveyard into your hand."		4	Melee	4		163	U			ToD
Twilight Shadowdrake	Ally			Twilight Dragonkin			Neutral				3		"When this ally enters play, if an ability, ally, or equipment was destroyed this turn, this ally may deal 4 shadow damage to target hero."		4	Shadow	1		164	U			ToD
Twilight Wyrmkiller	Ally			Twilight Dragonkin			Neutral				6		"When this ally enters play, if an ability, ally, or equipment was destroyed this turn, this ally has <b>Ferocity</b> this turn."		6	Melee	3		165	U			ToD
Caelestrasz	Ally			Red Dragonkin			Neutral	Caelestrasz (1)			5		Allies you control have +1 / +1 for each Red Dragonkin you control		4	Fire	4		166	R			ToD
Merithra	Ally			Green Dragonkin			Neutral	Merithra (1)			4		"When a resource you control is turned face down, this ally deals nature damage to target hero or ally equal to the number of Green Dragonkin you control."		4	Nature	4		167	R			ToD
Arygos	Ally			Blue Dragonkin			Neutral	Arygos (1)			4		"You pay 1 less to play abilities for each Blue Dragonkin you control, to a minimum of 1."		2	Arcane	7		168	R			ToD
Anachronos	Ally			Bronze Dragonkin			Neutral	Anachronos (1)			5		"At the end of your turn, you may ready a resource you control for each Bronze Dragonkin you control."		6	Melee	5		169	R			ToD
Ignacious	Ally			Fire Elemental	Ascendant		Neutral	Ignacious (1)			6		"When this or another [Fire] card you control is destroyed, you may turn target resource face down.<br>[Fire] allies you own everywhere have ""<b>Stash:</b> Put a 2 [Fire] / 1 [Health] Fire Elemental ally token into play."""		5	Fire	6		170	R			ToD
Feludius	Ally			Water Elemental	Ascendant		Neutral	Feludius (1)			6		"When this or another [Frost] card you control is destroyed, you may look at the top card of your deck. If you do, you may put it into your graveyard. <br>[Frost] allies you own everywhere have ""<b>Stash:</b> Put a 2 [Frost] / 1 [Health] Water Elemental al"		7	Frost	4		171	R			ToD
Arion	Ally			Air Elemental	Ascendant		Neutral	Arion (1)			6		"When this or another [Nature] card you control is destroyed, your hero may deal 1 Nature damage to target hero.<br>[Nature] allies you own everywhere have ""<b>Stash:</b> Put a 2 [Nature] / 1 [Health] Air Elemental ally token into play."""		6	Nature	5		172	R			ToD
Terrastra	Ally			Earth Elemental	Ascendant		Neutral	Terrastra (1)			6		"When this or another [Melee] card you control is destroyed, your hero has +1 ATK this turn.<br>[Melee] allies you own everywhere have ""<b>Stash:</b> Put a 2 [Melee] / 1 [Health] Earth Elemental ally token into play."""		3	Melee	9		173	R			ToD
Cho'gall	Ally			Ogre Magi	Warlock		Neutral	Cho'gall (1)			9		"At the start of your turn, destroy an ability, ally, or equipment you control.<br>At the end of your turn, destroy target opposing ability, ally, or equipment."		6	Shadow	8		174	E			ToD
Amani Dragonhawk	Ally			Dragonhawk			Neutral				7		"As this ally enters play, choose ""ability"", ""ally"" or ""equipment.""<br>Opposing cards of the chosen type lose and can't have powers."		8	Fire	5		175	E			ToD
Nightsaber Cub	Ally			Cat			Neutral				4		Ferocity (This ally can attack immediately.)		4	Melee	2		176	U			ToD
"Thrall, Guardian of the Elements"	Ally			Orc	Shaman		Neutral	Thrall (1)			8		"You pay 8 less to play this ally if you control each of the following: [Fire] card, [Frost] card, [Melee] card, and [Nature] card.<br>Other abilities, allies, and equipment you control can't be destroyed."		6	Nature	6		177	E			ToD
Battleplate of the Apocalypse	Equipment		"Armor, Plate"				Neutral	Chest (1)		"Death Knight, Paladin, Warrior"	6		"On your turn: [Exhaust] -> When target ally you control deals damage to an opposing ally this turn, destroy both allies."					3	178	U			ToD
Double Attack Handguards	Equipment		"Armor, Leather"				Neutral	Hands (1)		"Druid, Rogue"	3		"3, [Exhaust] -> Target ally has <b>Assault X</b> this turn where X is its ATK."					1	179	U			ToD
Flame Pillar Leggings	Equipment		"Armor, Cloth"				Neutral	Legs (1)		"Mage, Priest, Warlock"	2		"At the start of your turn, your hero may deal 1 fire damage to target hero."					1	180	C			ToD
Polished Helm of Valor	Equipment		"Armor, Plate"				Neutral	Head (1)		"Death Knight, Paladin, Warrior"	2		If this armor has three or more heirloom counters: [Exhaust] -> Allies you control have <b>Assault 3</b> this turn.<br><b>Stash:</b> Add an heirloom counter to target equipment you control.					2	181	R			ToD
Proto-Handler's Gauntlets	Equipment		"Armor, Mail"				Neutral	Hands (1)		"Hunter, Shaman"	2		"As this armor enters play, choose one of the following: Black, Blue, Bronze, Green, Red or Twilight.<br>Dragonkin you control are also the chosen color."					1	182	C			ToD
Stained Shadowcraft Cap	Equipment		"Armor, Leather"				Neutral	Head (1)		"Druid, Rogue"	1		"On your turn, if this armor has three or more heirloom counters: [Exhaust] -> Your hero deals 3 nature damage to target hero or ally.<br><b>Stash:</b> Add an heirloom counter to target equipment you control."					1	183	R			ToD
Tarnished Raging Berserker's Helm	Equipment		"Armor, Mail"				Neutral	Head (1)		"Hunter, Shaman"	3		If this armor has three or more heirloom counters: [Exhaust] -> Ready up to three other target cards you control.<br><b>Stash:</b> Add an heirloom counter to target equipment you control.					2	184	R			ToD
Tattered Dreadmist Mask	Equipment		"Armor, Cloth"				Neutral	Head (1)		"Mage, Priest, Warlock"	1		If this armor has three or more heirloom counters: [Exhaust] -> Look at the top three cards of your deck. Put one into your hand and the rest on the bottom of your deck.<br><b>Stash:</b> Add an heirloom counter to target equipment you control.					1	185	R			ToD
Corrupted Egg Shell	Equipment		Item				Neutral	Trinket (2)		"Druid, Mage, Paladin, Priest, Shaman, Warlock"	4		"While you control an Egg ally token, your hero has <b>Protector</b>.<br>At the end of your turn, put a 0 [Shadow] / 1 [Health] Egg ally token into play.<br>At the start of your turn, you may destroy this item. If you do, all Egg ally tokens you control be"						186	R			ToD
Darkmoon Card: Hurricane	Equipment		Item				Neutral	Trinket (2)		"Death Knight, Druid, Hunter, Paladin, Rogue, Shaman, Warrior"	3		"When this item enters or leaves play, your hero deals 1 nature damage to each opposing ally."						187	R			ToD
Akirus the Worm-Breaker	Equipment		"2H Weapon, Mace"				Neutral	Melee (1)		"Death Knight, Paladin, Warrior"	4	1	"When a Dragonkin ally is destroyed, you may put X +1 ATK counters on this weapon, where X was the ATK of that Dragonkin."		1	Melee			188	R			ToD
Axe of the Eclipse	Equipment		"1H Weapon, Axe"				Neutral	Melee (1)		"Death Knight, Paladin, Warrior"	3	2	This weapon has +2 ATK while an opponent controls more allies than you.		2	Melee			189	U			ToD
Blade of the Burning Sun	Equipment		"1H Weapon, Sword"				Neutral	Melee (1)		"Mage, Paladin, Warlock"	4	3	"[Exhaust], Exhaust your hero -> Reveal the top card of your deck. If it's a [Fire] ally or equipment, your allies have Assault X this turn, where X is the cost of the revealed card."		1	Fire			190	R			ToD
Blade of the Witching Hour	Equipment		"1H Weapon, Dagger"				Neutral	Melee (1)		"Druid, Mage, Priest, Shaman, Warlock"	4	3	"When this weapon enters play, your hero may deal 4 fire damage to target opposing hero or ally."		1	Melee			191	C			ToD
Chelley's Staff of Dark Mending	Equipment		"2H Weapon, Staff"				Neutral	Melee (1)		"Mage, Priest, Warlock"	2	5	"When an ally you control is destroyed, your hero heals damage from itself equal to that ally's cost."		1	Melee			192	R			ToD
Claws of Torment	Equipment		"1H Weapon, Fist"				Neutral	Melee (1)		"Rogue, Shaman"	3	0	Your hero has <b>Dual Wield</b>. <i>(You can control a second one-handed Melee weapon instead of an Off-Hand equipment. You can strike with a second Melee weapon during the same combat.)</i>		1	Melee			193	C			ToD
Cookie's Stirring Rod	Equipment		"Weapon, Wand"				Neutral	Ranged (1)		"Mage, Priest, Warlock"	3	1	"<b>Long-Range</b><br>When your hero deals damage with this weapon, reveal the top card of your deck. If it is an [Arcane] card, put it into your hand."		1	Arcane			194	R			ToD
"Crul'korak, the Lightning's Arc"	Equipment		"1H Weapon, Axe"				Neutral	Melee (1)		"Rogue, Shaman"	2	0	"[Nature] allies you control have <b>Assault X</b>, where X is the ATK of this weapon."		1	Nature			195	R			ToD
Darklight Torch	Equipment		"Weapon, Wand"				Neutral	Ranged (1)		"Mage, Priest, Warlock"	4	1	"When this weapon is destroyed, you may destroy target ability."		1	Fire			196	U			ToD
Dragonheart Piercer	Equipment		"Weapon, Crossbow"				Neutral	Ranged (1)		Hunter	4	0	"<b>Long-Range</b><br>This weapon has +1 ATK for each different color among dragonkin you control. <i>(Dragonkin colors are Black, Blue, Bronze, Green, Red, and Twilight.)</i>"		1	Ranged			197	R			ToD
Elementium Poleaxe	Equipment		"2H Weapon, Polearm"				Neutral	Melee (1)		"Druid, Hunter"	5	5	[Exhaust] -> Your hero has <b>Assault 1</b> this turn for each token ally you control.		1	Melee			198	U			ToD
Lava Spine	Equipment		"1H Weapon, Sword"				Neutral	Melee (1)		"Death Knight, Paladin, Warrior"	4	1	"When this weapon is destroyed, you may destroy target equipment."		3	Melee			199	U			ToD
Obsidium Executioner	Equipment		"2H Weapon, Sword"				Neutral	Melee (1)		"Death Knight, Paladin, Warrior"	5	3			4	Melee			200	C			ToD
Organic Lifeform Inverter	Equipment		"1H Weapon, Dagger"				Neutral	Melee (1)		"Hunter, Rogue, Shaman"	4	0	"When this weapon is destroyed, you may destroy target ally."		2	Melee			201	U			ToD
"Shalug'doom, the Axe of Unmaking"	Equipment		"2H Weapon, Axe"				Neutral	Melee (1)		"Death Knight, Paladin, Warrior"	0	0	"As this weapon enters play, destroy any number of abilities, allies, and/or equipment you control.<br>This weapon enters play with a +1 ATK counter on it for each card destroyed this way."		0	Melee			202	E			ToD
Twilight's Hammer	Equipment		"1H Weapon, Mace"				Neutral	Melee (1)		"Druid, Paladin, Priest, Shaman"	7	3	"On your turn: [Exhaust], Exhaust your hero, Destroy another ability, ally or equipment you control -> Gain control of target opposing card if it shares a card type with that destroyed card."		1	Melee			203	R			ToD
Volatile Thunderstick	Equipment		"Weapon, Gun"				Neutral	Ranged (1)		Hunter	4	1	"<b>Long-Range</b><br>When you strike with this or another Ranged weapon, your hero deals 1 nature damage to target hero or ally."		1	Ranged			204	U			ToD
Battle of Life and Death	Quest												You pay 1 less to complete this quest for each damaged hero and ally.<br>On your turn: Pay 6 to complete this quest.<br><b>Reward:</b> Draw a card.						205	C			ToD
Blackout	Quest												"On your turn: Pay 2 to complete this quest.<br><b>Reward:</b> Target up to two face-up resources. Turn the first face down. If you control a Black or Twilight Dragonkin, turn the second face down."						206	U			ToD
"Crucible of Carnage, The: The Twilight Terror"	Quest												"On your turn, if an ability, ally, or equipment was destroyed this turn: Pay 2 to complete this quest.<br><b>Reward:</b> Draw a card."						207	C			ToD
Devoured	Quest												If all quests you control are named Devoured: Pay 3 to complete this quest.<br><b>Reward:</b> Draw a card.						208	C			ToD
Enter the Dragon Queen	Quest												"Pay 4 to complete this quest.<br><b>Reward:</b> Draw a card for each different color among Dragonkin you control. <i>(Dragonkin colors are Black, Blue, Bronze, Green, Red, and Twilight.)</i>"						209	C			ToD
Far from the Nest	Quest												On your turn: Pay 6 to complete this quest.<br><b>Reward:</b> Put target ally with cost 3 or less from your graveyard into play.						210	C			ToD
Fire the Cannon	Quest												Pay 3 to complete this quest.<br><b>Reward:</b> Reveal the top five cards of your deck. Put a revealed [Fire] card into your hand and the rest on the bottom of your deck. <i>(A [Fire] card is a card with [Fire] in its lower-left corner.)</i>						211	C			ToD
"Fiery Reunion, A"	Quest												If a hero or ally you controlled dealt fire ([Fire]) damage this turn: Pay 2 to complete this quest.<br><b>Reward:</b> Draw a card.						212	C			ToD
Last of Her Kind	Quest												Pay 3 to complete this quest.<br><b>Reward:</b> Put target Dragonkin from your graveyard into your hand.						213	C			ToD
"Maw of Iso'rath, The"	Quest												If three or more allies you controlled dealt damage this turn: Pay 2 to complete this quest.<br><b>Reward:</b> Draw a card.						214	C			ToD
Mercy for the Bound	Quest												"On your turn, if a [Fire], [Frost], [Melee], or [Nature] ally entered play under your control this turn: Pay 3 to complete this quest.<br><b>Reward:</b> Draw a card."						215	C			ToD
Mr. Goldmine's Wild Ride	Quest												Pay 6 to complete this quest.<br><b>Reward:</b> Reveal the top three cards of your deck. You may put any number of revealed cards with different card types into your hand and the rest on the bottom of your deck.						216	C			ToD
Twilight Extermination	Quest												"On your turn: Destroy an ability, ally, or equipment you control and pay 2 to complete this quest.<br><b>Reward:</b> Draw a card."						217	C			ToD
Unbinding	Quest												On you turn: Pay 1 to complete this quest.<br><b>Reward:</b> Look at the top card of target opponent's deck. You may remove that card from the game or leave it on top.						218	C			ToD
"Worldbreaker, The"	Quest												"Pay 8 and turn all other quests you control named The Worldbreaker face down to complete this quest.<br><b>Reward:</b> Your hero has <b>Assault 5</b> and [Fire] ATK this turn, plus an additional <b>Assault 5</b> this turn for each other quest turned face "						219	R			ToD
Twilight Citadel	Location												"On your turn: 1, [Exhaust] -> Put a 1 [Shadow] / 1 [Health] Twilight Dragonkin ally token into play."						220	R			ToD
